filter_name,category,description,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,target_roi_10pct_gap,recent_2022_plus_graded,recent_2022_plus_roi,season_count,positive_seasons,losing_seasons,positive_season_rate,max_drawdown_units,avg_closing_total,avg_hgb_abs_edge,avg_market_residual,line_movement_clv_proxy_note,overfit_flags,shortlist_candidate,score
hgb_under_3p5_combo_total_ge_58_wind_ge_12,weather_total_combo_grid,HGB under 3.5+ with total >= 58 and wind >= 12 mph.,142,140,84,56,2,0.6,0.07619047619047614,0.5172240406779871,0.6774345281922145,20.363636363636367,0.14545454545454548,0.04545454545454547,39,0.3216783216783216,10,6,4,0.6,-9.363636363636363,64.6056338028169,6.478188549291864,-1.0985915492957747,true current-to-close CLV not available in historical file,none,True,50.206993006993
hgb_under_3p5_combo_high_pass_rate_precip_any,weather_team_style_grid,HGB under 3.5+ with top 30% pass-rate proxy and any precipitation flag.,58,57,35,22,1,0.6140350877192983,0.09022556390977443,0.484294964443229,0.7293746300447528,9.818181818181817,0.17224880382775118,0.07224880382775117,12,0.2727272727272727,10,7,3,0.7,-4.545454545454545,58.61206896551724,6.780606089756825,-3.043103448275862,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample",False,49.77397129186603
hgb_under_3p5_combo_high_pass_rate_rain_flag,weather_team_style_grid,HGB under 3.5+ with top 30% pass-rate proxy and rain/thunder text or precip amount.,58,57,35,22,1,0.6140350877192983,0.09022556390977443,0.484294964443229,0.7293746300447528,9.818181818181817,0.17224880382775118,0.07224880382775117,12,0.2727272727272727,10,7,3,0.7,-4.545454545454545,58.61206896551724,6.780606089756825,-3.043103448275862,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample",False,49.77397129186603
hgb_under_3p5_combo_high_pass_rate_cold_le_50,weather_team_style_grid,HGB under 3.5+ with top 30% pass-rate proxy and temp <= 50F.,59,56,32,24,3,0.5714285714285714,0.04761904761904756,0.4413738892040555,0.6923123758690708,5.09090909090909,0.0909090909090909,-0.009090909090909108,11,0.3884297520661157,10,7,3,0.7,-10.272727272727273,58.42372881355932,5.698537877168156,-2.3389830508474576,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample",False,49.73074380165289
hgb_under_3p5_total_ge_70,high_total_bucket,HGB under 3.5+ where closing total is at least 70.,143,142,82,60,1,0.5774647887323944,0.05365526492287054,0.4952287600371506,0.6556198318598115,14.545454545454545,0.10243277848911651,0.0024327784891165077,32,0.3721590909090909,10,6,4,0.6,-12.636363636363637,73.46503496503496,6.987552578355466,-2.2202797202797204,true current-to-close CLV not available in historical file,none,True,49.328732394366185
hgb_under_3p5_total_70_plus,high_total_bucket,HGB under 3.5+ with closing total 70+.,143,142,82,60,1,0.5774647887323944,0.05365526492287054,0.4952287600371506,0.6556198318598115,14.545454545454545,0.10243277848911651,0.0024327784891165077,32,0.3721590909090909,10,6,4,0.6,-12.636363636363637,73.46503496503496,6.987552578355466,-2.2202797202797204,true current-to-close CLV not available in historical file,none,True,49.328732394366185
hgb_under_3p5_combo_wind_ge_15_rain_flag,weather_combo_grid,HGB under 3.5+ with wind >= 15 mph and rain/thunder text or precip amount.,26,26,18,8,0,0.6923076923076923,0.16849816849816845,0.5001138848576876,0.8349887906020732,8.363636363636362,0.3216783216783216,0.2216783216783216,7,0.09090909090909091,8,5,3,0.625,-4.090909090909091,55.59615384615385,6.9028453968097905,-7.288461538461538,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,48.517377622377616
hgb_under_3p5_combo_high_pass_rate_total_ge_56_humid_ge_70,weather_team_style_total_grid,"HGB under 3.5+ with top 30% pass-rate proxy, total >= 56, and humidity >= 70%.",72,70,43,27,2,0.6142857142857143,0.09047619047619049,0.4971552064563055,0.7195248221454583,12.09090909090909,0.1727272727272727,0.0727272727272727,12,0.2727272727272727,10,6,4,0.6,-5.181818181818182,64.86111111111111,6.410877699209943,-3.4027777777777777,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample",False,48.454545454545446
hgb_under_3p5_combo_total_ge_60_cold_le_55,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and temp <= 55F.,136,134,77,57,2,0.5746268656716418,0.05081734186211795,0.48998474518744267,0.6551093338133815,13.0,0.09701492537313433,-0.0029850746268656747,34,0.3475935828877005,10,6,4,0.6,-10.636363636363637,66.26470588235294,6.22941058100199,-0.9852941176470589,true current-to-close CLV not available in historical file,none,True,47.06170644105675
hgb_under_3p5_combo_total_ge_60_wind_ge_10,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and wind >= 10 mph.,216,214,134,80,2,0.6261682242990654,0.10235870048954154,0.5596553249794937,0.6882312127616906,41.81818181818182,0.1954120645709431,0.09541206457094309,60,0.17727272727272725,10,7,3,0.7,-9.454545454545459,66.54166666666667,6.3764140528770685,-2.5277777777777777,true current-to-close CLV not available in historical file,none,True,46.6121155480034
