model,threshold,season,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
extra_trees,5.0,2025,13,13,9,4,0,0.6923076923076923,0.16849816849816845,0.4236888781333764,0.8731950283838191,4.181818181818182,0.32167832167832167,0.4230769230769231,5.474938464854724
hist_gradient_boosting,1.5,2016,552,545,270,275,7,0.4954128440366973,-0.02839667977282656,0.45361528393284833,0.5372746194563993,-29.545454545454547,-0.05421184320266889,0.41032608695652173,4.9190104576193985
hist_gradient_boosting,1.5,2017,569,562,294,268,7,0.5231316725978647,-0.0006778512116590862,0.4818202020232546,0.5641290530332842,-0.7272727272727293,-0.001294079585894536,-0.09314586994727592,4.839158730262217
hist_gradient_boosting,1.5,2018,577,573,303,270,4,0.5287958115183246,0.0049862877088007185,0.4878677779739812,0.5693403013323656,5.45454545454546,0.009519276534983351,0.4324090121317158,4.82056073469166
hist_gradient_boosting,1.5,2019,599,589,301,288,10,0.5110356536502547,-0.012773870159269118,0.4707247315399386,0.5512035541943959,-14.363636363636363,-0.02438647939496836,-0.005843071786310518,4.098457497722567
hist_gradient_boosting,1.5,2020,384,376,184,192,8,0.48936170212765956,-0.03444782168186428,0.4391971417442002,0.539741447394009,-24.727272727272727,-0.06576402321083172,1.21875,4.11567737639115
hist_gradient_boosting,1.5,2021,566,562,291,271,4,0.5177935943060499,-0.00601592950347396,0.47650047144534746,0.5588451093673749,-6.454545454545453,-0.011484956324813974,-0.13162544169611307,4.079417386226567
hist_gradient_boosting,1.5,2022,895,884,468,416,11,0.5294117647058824,0.0056022408963585235,0.49645162782996066,0.5621173781729119,9.454545454545457,0.010695187165775404,0.7804469273743017,3.679555376080425
hist_gradient_boosting,1.5,2023,847,834,416,418,13,0.4988009592326139,-0.02500856457690992,0.46494981564422555,0.5326630983003673,-39.81818181818182,-0.04774362328319163,1.322314049586777,3.425991729628646
hist_gradient_boosting,1.5,2024,783,772,388,384,11,0.5025906735751295,-0.021218850234394293,0.4673947748737034,0.537760916700453,-31.272727272727273,-0.04050871408384362,0.25925925925925924,3.036183892492641
hist_gradient_boosting,1.5,2025,62,62,27,35,0,0.43548387096774194,-0.0883256528417819,0.3194239439101423,0.5590723259253417,-10.454545454545453,-0.16862170087976538,-2.846774193548387,1.8609027296734648
hist_gradient_boosting,2.5,2016,458,453,227,226,5,0.5011037527593819,-0.022705771050141932,0.45524416884470165,0.5469447736684144,-19.636363636363626,-0.043347381095725446,0.07532751091703056,5.518249540789974
hist_gradient_boosting,2.5,2017,462,456,233,223,6,0.5109649122807017,-0.012844611528822103,0.4651836032827754,0.556563015552928,-11.181818181818178,-0.02452153110047846,-1.0032467532467533,5.506165844310619
hist_gradient_boosting,2.5,2018,458,454,244,210,4,0.5374449339207048,0.013635410111180968,0.4914579674520546,0.5828035238584771,11.818181818181815,0.02603123748498197,0.07532751091703056,5.567034420724415
hist_gradient_boosting,2.5,2019,427,423,218,205,4,0.5153664302600472,-0.008443093549476588,0.467816013166695,0.5626402497655029,-6.818181818181813,-0.016118633139909723,-0.5714285714285714,4.950182456984193
hist_gradient_boosting,2.5,2020,287,279,137,142,8,0.4910394265232975,-0.03277009728622632,0.4328990982943459,0.5494231626460532,-17.454545454545453,-0.06256109481915934,1.038327526132404,4.840713256194776
hist_gradient_boosting,2.5,2021,422,418,223,195,4,0.5334928229665071,0.009683299156983294,0.48557939613867124,0.5807962292145419,7.727272727272727,0.01848629839060461,-0.20853080568720378,4.781178068782725
hist_gradient_boosting,2.5,2022,612,604,331,273,8,0.5480132450331126,0.024203721223588714,0.5081428989557181,0.5872766972022282,27.909090909090903,0.04620710415412401,1.4191176470588236,4.46545790837102
hist_gradient_boosting,2.5,2023,533,523,261,262,10,0.49904397705544934,-0.024765546754074497,0.45635513809705947,0.5417467581844794,-24.727272727272723,-0.04727968016686945,1.3461538461538463,4.285276055925571
hist_gradient_boosting,2.5,2024,429,422,213,209,7,0.504739336492891,-0.019070187316632792,0.4572087111017315,0.5521844529292136,-15.363636363636362,-0.03640672124084446,-0.40442890442890445,3.9097809825120637
hist_gradient_boosting,2.5,2025,7,7,3,4,0,0.42857142857142855,-0.09523809523809529,0.15821692226262685,0.7495457695909742,-1.272727272727273,-0.18181818181818185,-2.7857142857142856,2.865249853550132
hist_gradient_boosting,3.5,2016,345,342,180,162,3,0.5263157894736842,0.0025062656641603454,0.47339851062359983,0.57864843803729,1.6363636363636367,0.004784688995215312,0.572463768115942,6.347173490201345
hist_gradient_boosting,3.5,2017,363,358,193,165,5,0.5391061452513967,0.015296621441872826,0.4873281723713663,0.5900537538637598,10.454545454545457,0.029202640934484516,-1.2878787878787878,6.18616876539753
hist_gradient_boosting,3.5,2018,350,346,190,156,4,0.5491329479768786,0.02532342416735478,0.4964491501621992,0.6007376909681866,16.727272727272727,0.04834471886495008,0.6342857142857142,6.361723024865667
hist_gradient_boosting,3.5,2019,301,298,154,144,3,0.5167785234899329,-0.007031000319590919,0.4601888858335106,0.5729410737214349,-4.000000000000005,-0.013422818791946326,-0.8039867109634552,5.761680471066437
hist_gradient_boosting,3.5,2020,198,193,91,102,5,0.47150259067357514,-0.0523069331359487,0.40231988086406806,0.5417976227530534,-19.272727272727273,-0.09985869053226566,1.1818181818181819,5.669720827499029
hist_gradient_boosting,3.5,2021,289,286,165,121,3,0.5769230769230769,0.053113553113553036,0.5190163883901806,0.6327906676017818,28.999999999999993,0.10139860139860138,-1.2768166089965398,5.610598029298095
hist_gradient_boosting,3.5,2022,394,392,221,171,2,0.5637755102040817,0.03996598639455784,0.5142982782631236,0.6120148732601121,29.909090909090903,0.07629870129870128,1.0786802030456852,5.281162452454197
