model,threshold,wind_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,5.0,0-5,201,200,107,93,1,0.535,0.011190476190476195,0.46586521028994954,0.6028155692957681,4.27272727272727,0.02136363636363635,-0.5373134328358209,8.066318227152081
elastic_net,5.0,10-15,105,105,59,46,0,0.5619047619047619,0.03809523809523807,0.46648169138351786,0.6529579346418253,7.6363636363636385,0.07272727272727275,0.21428571428571427,7.185118072095489
elastic_net,5.0,15-20,32,32,20,12,0,0.625,0.10119047619047616,0.45254100589525126,0.7706633153404079,6.181818181818182,0.19318181818181818,3.578125,6.446967782414484
elastic_net,5.0,20+,15,15,8,7,0,0.5333333333333333,0.00952380952380949,0.3011663015105079,0.7519077474025355,0.2727272727272727,0.01818181818181818,-0.9666666666666667,14.584994285472067
elastic_net,5.0,5-10,205,201,107,94,4,0.5323383084577115,0.008528784648187626,0.46339987921422615,0.6000637922275123,3.2727272727272734,0.01628222523744912,0.9560975609756097,6.855539247611168
elastic_net,5.0,missing,3,2,1,1,1,0.5,-0.023809523809523836,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,8.833333333333334,5.862277325173898
extra_trees,1.5,0-5,1124,1109,580,529,15,0.5229936880072137,-0.0008158358023101497,0.49356815303566126,0.5522604716311377,-1.7272727272727266,-0.001557504713501106,0.7166370106761566,2.4953162308186827
extra_trees,1.5,10-15,721,712,377,335,9,0.5294943820224719,0.005684858212948063,0.49277116788102826,0.5659010299906797,7.7272727272727275,0.01085291113381001,-0.48474341192787795,2.636522365024885
extra_trees,1.5,15-20,165,164,89,75,1,0.5426829268292683,0.018873403019744495,0.4663314737786557,0.6170805051347961,5.909090909090909,0.03603104212860311,-1.6484848484848484,2.5517120119457917
extra_trees,1.5,20+,73,73,38,35,0,0.5205479452054794,-0.003261578604044413,0.40781398284768294,0.6312273697529917,-0.45454545454545414,-0.006226650062266495,-0.7534246575342466,2.7915576212090194
extra_trees,1.5,5-10,1324,1317,657,660,7,0.4988610478359909,-0.024948475973532946,0.471899412680611,0.5258293081591928,-62.72727272727271,-0.04762890867674466,0.8840634441087614,2.4290866970502822
extra_trees,1.5,missing,79,78,37,41,1,0.47435897435897434,-0.0494505494505495,0.36737081694801105,0.5837542832455336,-7.363636363636364,-0.09440559440559441,-0.7721518987341772,2.787133386563145
extra_trees,2.5,0-5,423,419,212,207,4,0.5059665871121718,-0.01784293669735204,0.45825758742767014,0.5535671715364431,-14.27272727272727,-0.03406378824039921,0.2860520094562648,3.4320235751749752
extra_trees,2.5,10-15,285,283,144,139,2,0.508833922261484,-0.014975601548039785,0.4508609814883884,0.5665702418767022,-8.09090909090909,-0.028589784773530354,-0.9298245614035088,3.6879031140868617
extra_trees,2.5,15-20,62,62,35,27,0,0.5645161290322581,0.04070660522273428,0.4409276740746584,0.6805760560898577,4.818181818181819,0.0777126099706745,2.0080645161290325,3.605061170477343
extra_trees,2.5,20+,29,29,13,16,0,0.4482758620689655,-0.07553366174055831,0.2841291114874579,0.6245233293193238,-4.181818181818181,-0.14420062695924762,-2.6379310344827585,4.115383194743658
extra_trees,2.5,5-10,451,446,238,208,5,0.5336322869955157,0.009822763185991845,0.48724304819030206,0.5794470934062066,8.363636363636363,0.01875254790052996,1.5188470066518847,3.365996943313464
extra_trees,2.5,missing,37,37,19,18,0,0.5135135135135135,-0.01029601029601035,0.3589463722598092,0.6655384667278896,-0.7272727272727258,-0.019656019656019617,-2.391891891891892,3.7374290685959064
extra_trees,3.5,0-5,150,149,71,78,1,0.47651006711409394,-0.0472994566954299,0.3979164521163135,0.5562844984102446,-13.45454545454545,-0.09029896278218423,-1.3833333333333333,4.311210103104722
extra_trees,3.5,10-15,129,129,58,71,0,0.4496124031007752,-0.07419712070874862,0.3664624265425491,0.5356766624175358,-18.272727272727273,-0.1416490486257928,0.4689922480620155,4.683002374563827
extra_trees,3.5,15-20,29,29,17,12,0,0.5862068965517241,0.06239737274220025,0.40737528478515245,0.7448706472035449,3.4545454545454546,0.11912225705329153,0.017241379310344827,4.373889718848385
extra_trees,3.5,20+,16,16,9,7,0,0.5625,0.038690476190476164,0.33178195606776517,0.7690163666481448,1.1818181818181817,0.07386363636363635,-4.6875,5.016720284201809
extra_trees,3.5,5-10,146,146,83,63,0,0.5684931506849316,0.04468362687540772,0.4874134752002689,0.6460608069750416,12.454545454545453,0.08530510585305105,2.6404109589041096,4.281385407729755
extra_trees,3.5,missing,20,20,10,10,0,0.5,-0.023809523809523836,0.2992949144298199,0.7007050855701801,-0.9090909090909084,-0.04545454545454542,-0.6,4.447516576259001
extra_trees,5.0,0-5,26,26,16,10,0,0.6153846153846154,0.09157509157509158,0.42534520039420076,0.7757164048816557,4.545454545454545,0.17482517482517482,6.961538461538462,5.762622075967089
extra_trees,5.0,10-15,38,38,17,21,0,0.4473684210526316,-0.07644110275689225,0.3014616531155089,0.6029397082091058,-5.545454545454546,-0.145933014354067,-0.35526315789473684,6.125205557121662
extra_trees,5.0,15-20,7,7,4,3,0,0.5714285714285714,0.04761904761904756,0.2504542304090258,0.8417830777373732,0.6363636363636362,0.0909090909090909,-4.785714285714286,5.387918004176639
extra_trees,5.0,20+,8,8,4,4,0,0.5,-0.023809523809523836,0.21521252682444186,0.7847874731755582,-0.36363636363636376,-0.04545454545454547,-5.0,6.09311924368424
extra_trees,5.0,5-10,23,23,17,6,0,0.7391304347826086,0.2153209109730848,0.5352960945624944,0.8745155411075104,9.454545454545451,0.4110671936758892,4.956521739130435,5.46502306151484
extra_trees,5.0,missing,6,6,2,4,0,0.3333333333333333,-0.19047619047619052,0.09676933255921683,0.7000116786584712,-2.1818181818181817,-0.3636363636363636,0.3333333333333333,5.44178604731654
hist_gradient_boosting,1.5,0-5,1759,1737,901,836,22,0.5187104202648244,-0.005099103544699446,0.49519752374121184,0.5421407383959063,-16.909090909090892,-0.009734652221698845,0.6930073905628198,4.068766135940124
hist_gradient_boosting,1.5,10-15,1303,1282,661,621,21,0.515600624024961,-0.00820889978456285,0.4882377406191473,0.5428702901056325,-20.090909090909083,-0.015671535952347177,-0.13277052954719878,3.923423688565022
hist_gradient_boosting,1.5,15-20,313,312,157,155,1,0.5032051282051282,-0.020604395604395642,0.4480241336659684,0.5583081544176786,-12.27272727272727,-0.03933566433566433,0.46325878594249204,4.27702744379703
hist_gradient_boosting,1.5,20+,114,112,50,62,2,0.44642857142857145,-0.07738095238095238,0.3576589345942301,0.5387513359821432,-16.545454545454547,-0.14772727272727273,0.34649122807017546,4.303003504118256
