model,threshold,total_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,3.5,63+,235,234,122,112,1,0.5213675213675214,-0.0024420024420024333,0.45753439435272936,0.5845103951206009,-1.0909090909090895,-0.004662004662004656,-1.6936170212765957,5.52506698081207
elastic_net,3.5,<=42,33,32,17,15,1,0.53125,0.007440476190476164,0.3644923793257382,0.6913087009831766,0.45454545454545414,0.014204545454545442,-1.2575757575757576,5.614000497068659
elastic_net,5.0,42-49,92,90,54,36,2,0.6,0.07619047619047614,0.4967011780834921,0.6951114082321718,13.090909090909086,0.1454545454545454,2.5869565217391304,7.5447105345073835
elastic_net,5.0,49-56,211,211,102,109,0,0.4834123222748815,-0.040397201534642324,0.41688499379593985,0.5505328619638384,-16.27272727272727,-0.07712193020249891,1.052132701421801,7.667445568998256
elastic_net,5.0,56-63,140,136,81,55,4,0.5955882352941176,0.0717787114845938,0.5115764551936605,0.6743481909774359,18.636363636363633,0.1370320855614973,-0.06428571428571428,7.418338303696767
elastic_net,5.0,63+,102,102,57,45,0,0.5588235294117647,0.03501400560224088,0.4620686963178269,0.6513082745518501,6.818181818181818,0.06684491978609626,-1.5833333333333333,7.396495804735705
elastic_net,5.0,<=42,16,16,8,8,0,0.5,-0.023809523809523836,0.2799923761135083,0.7200076238864916,-0.7272727272727275,-0.04545454545454547,-3.28125,7.428956465553506
extra_trees,1.5,42-49,747,741,409,332,6,0.5519568151147098,0.028147291305186006,0.5159739929858035,0.5874036916118345,39.81818181818182,0.05373573794626427,1.680053547523427,2.6737927024285337
extra_trees,1.5,49-56,1267,1258,603,655,9,0.4793322734499205,-0.044477250359603315,0.45183048384582886,0.506959906326757,-106.81818181818181,-0.08491111432287902,0.07300710339384373,2.490028030237654
extra_trees,1.5,56-63,745,736,381,355,9,0.5176630434782609,-0.006146480331262971,0.4815643273003472,0.5535783302631095,-8.636363636363633,-0.011734189723320155,-0.10939597315436242,2.4009530984738414
extra_trees,1.5,63+,576,571,310,261,5,0.542907180385289,0.01909765657576512,0.5018957515870577,0.5833451217248251,20.818181818181824,0.03645916255373349,-0.3237847222222222,2.461905831569871
extra_trees,1.5,<=42,151,147,75,72,4,0.5102040816326531,-0.013605442176870763,0.43016726976996955,0.5897211429755861,-3.8181818181818183,-0.025974025974025976,1.0529801324503312,2.7008086159141524
extra_trees,2.5,42-49,298,298,171,127,0,0.5738255033557047,0.050015979546180866,0.5170887939596462,0.6286830280821134,28.454545454545457,0.09548505186089079,1.7114093959731544,3.8282235068542203
extra_trees,2.5,49-56,469,467,224,243,2,0.4796573875802998,-0.04415213622922404,0.43469684130080927,0.5249498849018034,-39.36363636363636,-0.08429044189215494,0.31343283582089554,3.4106126948506152
extra_trees,2.5,56-63,235,230,112,118,5,0.48695652173913045,-0.03685300207039338,0.4231059558891361,0.5512356497105522,-16.18181818181818,-0.07035573122529644,-0.06170212765957447,3.406679801914877
