model,threshold,recent_period,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
hist_gradient_boosting,1.5,2016-2018,1697,1679,866,813,18,0.5157832042882668,-0.008026319521256986,0.4918696954661664,0.5396246531403811,-25.727272727272716,-0.0153229736314906,0.2486741308190925,4.860802946782004
hist_gradient_boosting,1.5,2019-2021,1548,1526,776,750,22,0.508519003931848,-0.015290519877675823,0.48344575297528536,0.5335494705825001,-44.54545454545454,-0.029190992493744784,0.24967700258397932,4.097444415341745
hist_gradient_boosting,1.5,2022-2025,2602,2567,1298,1269,35,0.5056486170627191,-0.018160906746804706,0.48631334121835373,0.524967011487935,-89.0,-0.03467082197117258,0.7255956956187548,3.3520076086313835
hist_gradient_boosting,2.5,2016-2018,1378,1363,704,659,15,0.516507703595011,-0.007301820214512866,0.489968326814347,0.5429542883592035,-18.999999999999993,-0.013939838591342622,-0.2862844702467344,5.53062039822361
hist_gradient_boosting,2.5,2019-2021,1136,1120,578,542,16,0.5160714285714286,-0.007738095238095211,0.4867985362604848,0.5452344477472258,-16.54545454545454,-0.014772727272727267,-0.02992957746478873,4.859546363299329
hist_gradient_boosting,2.5,2022-2025,1582,1557,807,750,25,0.5183044315992292,-0.005505092210294604,0.4934705426354053,0.5430482175001521,-16.363636363636378,-0.01050972149238046,0.8878002528445006,4.24594833242832
hist_gradient_boosting,3.5,2016-2018,1058,1046,563,483,12,0.5382409177820268,0.014431393972502926,0.507943513711556,0.5682584580906664,28.818181818181817,0.02755084303841474,-0.045368620037807186,6.297016454601882
hist_gradient_boosting,3.5,2019-2021,788,777,410,367,11,0.5276705276705277,0.0038610038610038533,0.49251716084518243,0.5625516264735261,5.72727272727273,0.007371007371007375,-0.4784263959390863,5.682585771894066
hist_gradient_boosting,3.5,2022-2025,932,921,496,425,11,0.5385450597176982,0.014735535908174335,0.5062554891604802,0.5705144139234641,25.909090909090917,0.028131477642878305,0.7821888412017167,5.148016217125753
hist_gradient_boosting,5.0,2016-2018,673,665,370,295,8,0.556390977443609,0.032581453634085156,0.5184139877802476,0.5937201856922159,41.36363636363637,0.06220095693779905,-0.07206537890044576,7.4964830566358645
hist_gradient_boosting,5.0,2019-2021,452,447,233,214,5,0.5212527964205816,-0.0025567273889421926,0.47495855624836536,0.5671848484418851,-2.181818181818185,-0.004881025015253211,1.1714601769911503,6.815183269820392
hist_gradient_boosting,5.0,2022-2025,400,394,214,180,6,0.5431472081218274,0.019337684312303538,0.4937793425581851,0.5916818057983466,14.54545454545455,0.036917397323488706,0.48125,6.4924584015420495
ridge,1.5,2016-2018,1659,1639,796,843,20,0.4856619890176937,-0.03814753479183014,0.46152699936568914,0.509864034316438,-119.36363636363635,-0.07282711187531199,0.17872212176009644,4.634855199539137
ridge,1.5,2019-2021,1531,1510,737,773,21,0.4880794701986755,-0.035730053610848356,0.462929315349616,0.51329012531049,-103.0,-0.06821192052980132,-0.17766165904637493,4.024532786468362
ridge,1.5,2022-2025,3236,3204,1698,1506,32,0.5299625468164794,0.006153023006955527,0.5126547942335112,0.5471985351827541,37.63636363636364,0.01174668028600613,0.7978986402966626,3.3306343284112723
ridge,2.5,2016-2018,1288,1272,610,662,16,0.47955974842767296,-0.044249775381850875,0.4522077252370401,0.5070348641251503,-107.45454545454544,-0.08447684391080616,0.18167701863354038,5.394688296708096
