filter_name,category,description,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,target_roi_10pct_gap,recent_2022_plus_graded,recent_2022_plus_roi,season_count,positive_seasons,losing_seasons,positive_season_rate,max_drawdown_units,avg_closing_total,avg_hgb_abs_edge,avg_market_residual,line_movement_clv_proxy_note,overfit_flags,shortlist_candidate,score
hgb_under_3p5_total_ge_56,high_total_bucket,HGB under 3.5+ where closing total is at least 56.,854,844,469,375,10,0.5556872037914692,0.03187767998194535,0.5219868429132732,0.5888829233260808,51.363636363636374,0.060857389056441204,-0.0391426109435588,235,0.10483558994197294,10,9,1,0.9,-17.18181818181818,64.4115925058548,6.0600270833274,-0.655152224824356,true current-to-close CLV not available in historical file,none,True,34.536222464638314
hgb_under_3p5_high_pass_rate_top30,team_style,HGB under 3.5+ where combined prior pass-rate proxy is in the top 30%.,364,358,203,155,6,0.5670391061452514,0.0432295823357276,0.5152686523001364,0.6173860783886513,29.545454545454543,0.08252920264093448,-0.017470797359065524,93,0.1495601173020528,10,6,4,0.6,-11.454545454545467,60.097527472527474,5.987723854588211,-1.896978021978022,true current-to-close CLV not available in historical file,none,True,34.086820557348574
hgb_under_3p5_total_ge_58,high_total_bucket,HGB under 3.5+ where closing total is at least 58.,747,738,412,326,9,0.5582655826558266,0.03445605884630276,0.522226945850189,0.5937007670200519,48.54545454545454,0.06577974870657796,-0.034220251293422044,216,0.11363636363636365,10,8,2,0.8,-18.181818181818183,65.50133868808568,6.117642734704013,-0.6566265060240963,true current-to-close CLV not available in historical file,none,True,34.03252032520325
hgb_under_3p5_combo_cold_le_55_wind_ge_10,weather_combo_grid,HGB under 3.5+ with temp <= 55F and wind >= 10 mph.,130,128,72,56,2,0.5625,0.038690476190476164,0.47597943503754575,0.6453783154751909,9.454545454545455,0.07386363636363637,-0.026136363636363638,38,0.20574162679425834,10,6,4,0.6,-8.363636363636363,56.723076923076924,5.86462604952266,-1.0307692307692307,true current-to-close CLV not available in historical file,none,True,33.73296650717704
hgb_under_3p5_total_ge_60,high_total_bucket,HGB under 3.5+ where closing total is at least 60.,638,631,355,276,7,0.5625990491283677,0.03878952531884383,0.5236294555905026,0.6008110347617366,46.72727272727273,0.07405273015415646,-0.025947269845843543,192,0.09375,10,8,2,0.8,-16.81818181818182,66.66379310344827,6.111317050767029,-1.0039184952978057,true current-to-close CLV not available in historical file,none,True,33.54163665177928
hgb_under_3p5_combo_high_pass_rate_total_ge_58,team_style_total_grid,HGB under 3.5+ with top 30% pass-rate proxy and total >= 58.,220,216,126,90,4,0.5833333333333334,0.059523809523809534,0.5166899378513427,0.6470643288570511,24.545454545454547,0.11363636363636365,0.013636363636363641,59,0.13251155624036978,10,6,4,0.6,-9.272727272727272,65.6,6.176026682266744,-2.077272727272727,true current-to-close CLV not available in historical file,none,True,33.43001540832049
hgb_under_3p5_total_ge_66,high_total_bucket,HGB under 3.5+ where closing total is at least 66.,331,328,181,147,3,0.551829268292683,0.028019744483159137,0.49771838390266215,0.60474013847669,17.54545454545454,0.05349223946784921,-0.0465077605321508,82,0.1873614190687361,10,6,4,0.6,-15.181818181818183,70.25377643504531,6.64058285885482,-0.31419939577039274,true current-to-close CLV not available in historical file,none,True,32.86177383592017
hgb_under_3p5_combo_high_pass_rate_wind_ge_10,weather_team_style_grid,HGB under 3.5+ with top 30% pass-rate proxy and wind >= 10 mph.,115,113,64,49,2,0.5663716814159292,0.04256215760640536,0.4743028716056536,0.6540760619248699,9.181818181818182,0.08125502815768303,-0.01874497184231698,26,0.17482517482517476,10,6,4,0.6,-5.90909090909091,60.530434782608694,6.096471796511747,-2.243478260869565,true current-to-close CLV not available in historical file,thin_recent_sample,True,32.189698619964105
hgb_under_5p0_baseline,baseline,All HGB under candidates with at least a 5.0-point predicted edge.,780,770,423,347,10,0.5493506493506494,0.02554112554112553,0.5140478425118576,0.5841634710179396,37.545454545454554,0.04876033057851241,-0.051239669421487596,161,0.11462450592885373,10,6,4,0.6,-16.81818181818182,59.37179487179487,7.2646368658675105,-0.08974358974358974,true current-to-close CLV not available in historical file,none,True,29.68235716852318
hgb_under_3p5_all_models_under,model_consensus,HGB under 3.5+ and all tracked regression models lean under.,619,607,327,280,12,0.5387149917627677,0.014905467953243878,0.4989381085040344,0.5780049156776846,17.272727272727266,0.0284558933652838,-0.0715441066347162,207,0.09749670619235835,10,7,3,0.7,-17.363636363636367,59.72213247172859,6.055159445406167,-0.44426494345718903,true current-to-close CLV not available in historical file,none,True,27.672598559189776
hgb_under_3p5_no_model_strong_opposition,model_consensus,HGB under 3.5+ with no other model strongly leaning over.,987,974,528,446,13,0.5420944558521561,0.018284932042632263,0.510700422026009,0.573157740686643,34.0,0.03490759753593429,-0.06509240246406572,309,0.09973521624007059,10,7,3,0.7,-22.272727272727273,58.940729483282674,5.908715546266877,-0.5334346504559271,true current-to-close CLV not available in historical file,none,True,27.51503159825362
hgb_under_3p5_temp_le_55,weather_single,HGB under 3.5+ with temperature at or below 55F.,362,355,189,166,7,0.532394366197183,0.00858484238765922,0.48042125802427765,0.5836738747585435,5.818181818181817,0.016389244558258638,-0.08361075544174137,84,0.15909090909090903,10,6,4,0.6,-18.09090909090909,56.59668508287293,5.931358948513101,-0.03314917127071823,true current-to-close CLV not available in historical file,none,True,26.84801536491677
hgb_under_5p0_two_plus_models_under,model_consensus,HGB under 5.0+ and at least 2 other regression models also lean under.,495,487,258,229,8,0.5297741273100616,0.005964603500537735,0.4853850632222541,0.5736971335597627,5.545454545454543,0.011386970319208508,-0.0886130296807915,134,0.12550881953867027,10,6,4,0.6,-17.727272727272762,60.323232323232325,7.260215695305379,0.35555555555555557,true current-to-close CLV not available in historical file,none,True,26.37394804955992
hgb_under_3p5_total_56_60,high_total_bucket,HGB under 3.5+ with closing total 56 to 60.,216,213,114,99,3,0.5352112676056338,0.01140174379610992,0.46819872901727533,0.6009761894485539,4.636363636363637,0.02176696542893726,-0.07823303457106275,43,0.1543340380549683,10,6,4,0.6,-12.545454545454552,57.75925925925926,5.908531716538124,0.375,true current-to-close CLV not available in historical file,none,True,25.274328678200273
hgb_under_3p5_total_ge_54,high_total_bucket,HGB under 3.5+ where closing total is at least 54.,950,939,510,429,11,0.5431309904153354,0.019321466605811577,0.5111578632400943,0.5747526438906899,34.63636363636363,0.03688643624745861,-0.0631135637525414,251,0.0572256428830134,10,7,3,0.7,-20.272727272727288,63.43736842105263,5.987782923655131,-0.45526315789473687,true current-to-close CLV not available in historical file,none,True,24.712149600841474
hgb_under_3p5_humidity_ge_70,weather_single,HGB under 3.5+ with humidity at least 70%.,445,438,234,204,7,0.5342465753424658,0.010437051532941943,0.48743515180048064,0.5804624839133137,8.727272727272727,0.019925280199252802,-0.08007471980074721,100,0.08818181818181818,10,6,4,0.6,-13.545454545454543,57.39550561797753,6.190058642494735,0.49213483146067416,true current-to-close CLV not available in historical file,none,True,24.097982565379823
hgb_under_3p5_two_plus_models_under,model_consensus,HGB under 3.5+ and at least 2 other regression models also lean under.,863,850,454,396,13,0.5341176470588235,0.010308123249299639,0.500503941443775,0.5674243487683673,16.727272727272723,0.019679144385026732,-0.08032085561497328,280,0.07727272727272727,10,7,3,0.7,-24.454545454545464,59.48088064889919,5.952505237088655,-0.20278099652375434,true current-to-close CLV not available in historical file,none,True,23.75882352941176
hgb_under_3p5_humidity_ge_60,weather_single,HGB under 3.5+ with humidity at least 60%.,634,625,334,291,9,0.5344,0.01059047619047615,0.495201805019283,0.5731778950514501,12.636363636363638,0.020218181818181823,-0.07978181818181818,142,0.06209987195902688,10,7,3,0.7,-20.00000000000002,57.988958990536275,6.0839891378709785,0.2981072555205047,true current-to-close CLV not available in historical file,none,True,23.489807938540327
hgb_under_3p5_total_ge_52,high_total_bucket,HGB under 3.5+ where closing total is at least 52.,1034,1022,550,472,12,0.538160469667319,0.014350945857795172,0.5075089756962816,0.5685261548735843,28.000000000000004,0.027397260273972605,-0.0726027397260274,262,0.06384455239417072,10,6,4,0.6,-20.181818181818198,62.57301740812379,5.961014384363894,-0.2441972920696325,true current-to-close CLV not available in historical file,none,True,22.81092658256728
hgb_under_3p5_provider_consensus,provider,HGB under 3.5+ using line provider consensus.,975,966,523,443,9,0.5414078674948241,0.017598343685300222,0.509883044494618,0.5726046524653806,32.45454545454545,0.03359683794466403,-0.06640316205533597,130,0.013286713286713285,6,5,1,0.8333333333333334,-22.000000000000092,58.61282051282051,6.0455689875643595,-0.5717948717948718,true current-to-close CLV not available in historical file,none,True,22.522620857403446
hgb_under_3p5_wind_ge_5,weather_single,HGB under 3.5+ with wind at least 5 mph.,940,928,497,431,12,0.5355603448275862,0.011750821018062352,0.5033910086289796,0.5674364796479979,20.818181818181824,0.02243338557993731,-0.0775666144200627,242,0.057099924868519905,10,6,4,0.6,-22.999999999999996,58.18191489361702,5.904131985903674,0.043617021276595745,true current-to-close CLV not available in historical file,none,True,21.211332547475326
hgb_under_3p5_baseline,baseline,All HGB under candidates with at least a 3.5-point predicted edge.,1397,1380,736,644,17,0.5333333333333333,0.00952380952380949,0.5069551725596434,0.5595264247561188,25.090909090909093,0.018181818181818184,-0.08181818181818182,370,0.026781326781326786,10,7,3,0.7,-23.090909090909012,58.329634931997134,5.903311939140926,-0.12419470293486042,true current-to-close CLV not available in historical file,none,True,19.84250614250616
hgb_under_3p5_outdoor_only,weather_single,HGB under 3.5+ excluding indoor games.,1338,1323,703,620,15,0.5313681027966742,0.0075585789871503994,0.5044261459237764,0.5581284197455545,19.09090909090909,0.01443001443001443,-0.08556998556998557,344,0.026691331923890057,10,7,3,0.7,-27.00000000000003,58.2245889387145,5.914342949897049,-0.08856502242152467,true current-to-close CLV not available in historical file,none,True,18.678307996912643
hgb_under_3p5_provider_draftkings,provider,HGB under 3.5+ using line provider DraftKings.,184,179,95,84,5,0.5307262569832403,0.006916733173716438,0.4577397208888863,0.6024216428270297,2.363636363636365,0.013204672422549526,-0.08679532757745048,179,0.013204672422549526,3,2,1,0.6666666666666666,-15.0,56.41576086956522,5.2101112494730115,-0.024456521739130436,true current-to-close CLV not available in historical file,none,True,12.956841036058915
