filter_name,category,season,graded,wins,losses,hit_rate,net_units_1u_each,roi_per_1u
hgb_under_3p5_temp_le_32,weather_single,2023,1,1,0,1.0,0.9090909090909091,0.9090909090909091
hgb_under_3p5_temp_le_32,weather_single,2024,3,3,0,1.0,2.727272727272727,0.9090909090909091
hgb_under_3p5_temp_le_25,weather_single,2018,3,2,1,0.6666666666666666,0.8181818181818181,0.2727272727272727
hgb_under_3p5_temp_le_25,weather_single,2019,1,0,1,0.0,-1.0,-1.0
hgb_under_3p5_temp_le_25,weather_single,2020,1,0,1,0.0,-1.0,-1.0
hgb_under_3p5_temp_le_25,weather_single,2022,2,0,2,0.0,-2.0,-1.0
hgb_under_3p5_temp_le_25,weather_single,2024,1,1,0,1.0,0.9090909090909091,0.9090909090909091
hgb_under_3p5_temp_ge_80,weather_single,2016,16,5,11,0.3125,-6.454545454545455,-0.40340909090909094
hgb_under_3p5_temp_ge_80,weather_single,2017,34,20,14,0.5882352941176471,4.181818181818182,0.1229946524064171
hgb_under_3p5_temp_ge_80,weather_single,2018,46,25,21,0.5434782608695652,1.7272727272727266,0.03754940711462449
hgb_under_3p5_temp_ge_80,weather_single,2019,21,13,8,0.6190476190476191,3.818181818181818,0.1818181818181818
hgb_under_3p5_temp_ge_80,weather_single,2020,7,2,5,0.2857142857142857,-3.1818181818181817,-0.45454545454545453
hgb_under_3p5_temp_ge_80,weather_single,2021,46,23,23,0.5,-2.090909090909091,-0.045454545454545456
hgb_under_3p5_temp_ge_80,weather_single,2022,29,14,15,0.4827586206896552,-2.272727272727272,-0.07836990595611283
hgb_under_3p5_temp_ge_80,weather_single,2023,21,12,9,0.5714285714285714,1.9090909090909087,0.0909090909090909
hgb_under_3p5_temp_ge_80,weather_single,2024,18,9,9,0.5,-0.8181818181818182,-0.045454545454545456
hgb_under_3p5_temp_ge_85,weather_single,2016,7,1,6,0.14285714285714285,-5.090909090909091,-0.7272727272727273
hgb_under_3p5_temp_ge_85,weather_single,2017,13,9,4,0.6923076923076923,4.181818181818182,0.32167832167832167
hgb_under_3p5_temp_ge_85,weather_single,2018,25,12,13,0.48,-2.090909090909091,-0.08363636363636363
hgb_under_3p5_temp_ge_85,weather_single,2019,12,7,5,0.5833333333333334,1.3636363636363633,0.1136363636363636
hgb_under_3p5_temp_ge_85,weather_single,2020,1,0,1,0.0,-1.0,-1.0
hgb_under_3p5_temp_ge_85,weather_single,2021,14,7,7,0.5,-0.6363636363636368,-0.045454545454545484
hgb_under_3p5_temp_ge_85,weather_single,2022,11,5,6,0.45454545454545453,-1.4545454545454541,-0.13223140495867766
hgb_under_3p5_temp_ge_85,weather_single,2023,10,6,4,0.6,1.4545454545454541,0.14545454545454542
hgb_under_3p5_temp_ge_85,weather_single,2024,10,4,6,0.4,-2.3636363636363633,-0.23636363636363633
hgb_under_3p5_temp_ge_90,weather_single,2016,1,0,1,0.0,-1.0,-1.0
hgb_under_3p5_temp_ge_90,weather_single,2017,3,2,1,0.6666666666666666,0.8181818181818181,0.2727272727272727
