strategy,legs,parlays,graded,wins,losses,pushes,hit_rate,breakeven_hit_rate_at_minus_110_legs,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_parlay,roi_per_1u_parlay,avg_abs_pred_edge_per_leg,avg_market_residual_per_leg,base_strategy,season
hgb_under_3p5_all__2017,3,2831,2831,638,2193,0,0.22536206287530908,0.1437209804556743,0.21034884322244488,0.24111962683246044,1389.4793388429757,0.49080866790638494,6.372232553828298,-2.6770281408218533,hgb_under_3p5_all,2017
hgb_under_3p5_all__2018,3,4199,4199,786,3413,0,0.18718742557751847,0.1437209804556743,0.1756770538749874,0.19926964885109205,1107.5785123966948,0.2637719724688485,6.8177692672455175,-0.4958323410335792,hgb_under_3p5_all,2018
hgb_under_3p5_all__2019,3,1207,1207,180,1027,0,0.1491300745650373,0.1437209804556743,0.13014799202597782,0.1703385456020654,-47.34560480841458,-0.03922585319669808,5.603325670106748,0.38746202706434685,hgb_under_3p5_all,2019
hgb_under_3p5_all__2020,3,907,907,124,783,0,0.13671444321940462,0.1437209804556743,0.11588309769723547,0.1606102025648518,-136.98948159278734,-0.15103581211994194,6.157576821148963,0.16133774347666316,hgb_under_3p5_all,2020
hgb_under_3p5_all__2021,3,10769,10769,2658,8111,0,0.24681957470517224,0.1437209804556743,0.23876737436959541,0.2550523435403012,7466.731029301281,0.6933541674529929,5.737458922479885,-2.8686352802798156,hgb_under_3p5_all,2021
hgb_under_3p5_all__2022,3,2108,2108,422,1686,0,0.20018975332068312,0.1437209804556743,0.1836601020916946,0.21781015969309075,828.2449286250944,0.3929055638638968,5.375284540185949,-1.407099936748893,hgb_under_3p5_all,2022
hgb_under_3p5_all__2023,3,761,761,186,575,0,0.24441524310118265,0.1437209804556743,0.21521571184515517,0.2761822455881225,413.73779113448546,0.5436764666681806,5.2757109339804655,1.088480070083224,hgb_under_3p5_all,2023
hgb_under_3p5_all__2024,3,492,492,97,395,0,0.19715447154471544,0.1437209804556743,0.16440327879948052,0.23459833784583523,139.84598046581524,0.28423979769474644,5.208980686038763,-2.0680894308943087,hgb_under_3p5_all,2024
hgb_under_3p5_consensus__2017,2,766,766,280,486,0,0.36553524804177545,0.27437641723356004,0.3321804522488961,0.4002320336443059,233.66942148760344,0.30505146408303324,6.247561792579256,-2.85411227154047,hgb_under_3p5_consensus,2017
hgb_under_3p5_consensus__2018,2,841,841,256,585,0,0.30439952437574314,0.27437641723356004,0.27424701618921293,0.33633087202083717,69.46280991735549,0.08259549336189713,6.690110543212353,-0.0032699167657550534,hgb_under_3p5_consensus,2018
hgb_under_3p5_consensus__2019,2,412,412,119,293,0,0.28883495145631066,0.27437641723356004,0.24718062918748077,0.33439081532408316,7.826446280991789,0.01899622883735871,5.581138006432219,-0.17233009708737865,hgb_under_3p5_consensus,2019
hgb_under_3p5_consensus__2020,2,353,353,90,263,0,0.254957507082153,0.27437641723356004,0.21229737670098392,0.30289367725685057,-49.28099173553715,-0.1396062088825415,6.084030149182112,1.1267705382436262,hgb_under_3p5_consensus,2020
hgb_under_3p5_consensus__2021,2,1920,1920,714,1206,0,0.371875,0.27437641723356004,0.3505323534570025,0.3937293362787846,659.7024793388432,0.34359504132231417,5.735276074810609,-2.613411458333333,hgb_under_3p5_consensus,2021
hgb_under_3p5_consensus__2022,2,611,611,184,427,0,0.3011456628477905,0.27437641723356004,0.26610448620554966,0.3386717683614801,59.611570247933955,0.0975639447593027,5.40217949247184,-1.2295417348608837,hgb_under_3p5_consensus,2022
hgb_under_3p5_consensus__2023,2,3,3,0,3,0,0.0,0.27437641723356004,0.0,0.5615060804490177,-3.0,-1.0,4.8061820590374955,5.333333333333333,hgb_under_3p5_consensus,2023
hgb_under_3p5_consensus__2017,3,2831,2831,638,2193,0,0.22536206287530908,0.1437209804556743,0.21034884322244488,0.24111962683246044,1389.4793388429757,0.49080866790638494,6.372232553828298,-2.6770281408218533,hgb_under_3p5_consensus,2017
hgb_under_3p5_consensus__2018,3,2950,2950,495,2455,0,0.16779661016949152,0.1437209804556743,0.15474548931789706,0.1817118210537898,374.8948159278742,0.12708298845012686,6.677382864921621,0.054293785310734526,hgb_under_3p5_consensus,2018
hgb_under_3p5_consensus__2019,3,1207,1207,180,1027,0,0.1491300745650373,0.1437209804556743,0.13014799202597782,0.1703385456020654,-47.34560480841458,-0.03922585319669808,5.603325670106748,0.38746202706434685,hgb_under_3p5_consensus,2019
hgb_under_3p5_consensus__2020,3,907,907,124,783,0,0.13671444321940462,0.1437209804556743,0.11588309769723547,0.1606102025648518,-136.98948159278734,-0.15103581211994194,6.157576821148963,0.16133774347666316,hgb_under_3p5_consensus,2020
hgb_under_3p5_consensus__2021,3,10633,10633,2658,7975,0,0.249976488291169,0.1437209804556743,0.24183748679128975,0.25829608669353116,7602.73102930128,0.7150127931252966,5.744510188242023,-3.0063951848020314,hgb_under_3p5_consensus,2021
hgb_under_3p5_consensus__2022,3,1907,1907,336,1571,0,0.1761929732564237,0.1437209804556743,0.15974908882989639,0.19393883590441965,430.8632607062362,0.22593773503211126,5.42713821007266,-0.7260094389092816,hgb_under_3p5_consensus,2022
hgb_under_3p5_consensus__2023,3,1,1,0,1,0,0.0,0.1437209804556743,0.0,0.7934567085261071,-1.0,-1.0,4.8061820590374955,5.333333333333333,hgb_under_3p5_consensus,2023
hgb_under_3p5_high_total__2016,2,377,377,118,259,0,0.3129973474801061,0.27437641723356004,0.2682725689807417,0.3614947673606663,37.44628099173558,0.09932700528311825,6.030969494071431,-1.276525198938992,hgb_under_3p5_high_total,2016
hgb_under_3p5_high_total__2017,2,225,225,71,154,0,0.31555555555555553,0.27437641723356004,0.2583585578614017,0.37894514915690247,33.76859504132234,0.1500826446280993,6.447867333633603,-1.8466666666666667,hgb_under_3p5_high_total,2017
hgb_under_3p5_high_total__2018,2,450,450,145,305,0,0.32222222222222224,0.27437641723356004,0.2807049889507759,0.36674910075805656,62.851239669421545,0.13966942148760345,7.0264458678163475,-0.05,hgb_under_3p5_high_total,2018
hgb_under_3p5_high_total__2019,2,118,118,39,79,0,0.3305084745762712,0.27437641723356004,0.2521555893386995,0.4195493127637022,17.198347107438035,0.14574870430032233,5.766846406381142,-0.8813559322033898,hgb_under_3p5_high_total,2019
hgb_under_3p5_high_total__2020,2,131,131,42,89,0,0.32061068702290074,0.27437641723356004,0.24678009030917958,0.4046627878530492,13.396694214876053,0.1022648413349317,6.7141927105136405,0.07061068702290077,hgb_under_3p5_high_total,2020
hgb_under_3p5_high_total__2021,2,525,525,248,277,0,0.4723809523809524,0.27437641723356004,0.43003109701478653,0.5151320671538415,378.86776859504147,0.7216528925619837,5.838100518559862,-4.36,hgb_under_3p5_high_total,2021
hgb_under_3p5_high_total__2022,2,328,328,117,211,0,0.3567073170731707,0.27437641723356004,0.30679869393352865,0.4099336265470862,98.42148760330585,0.30006551098568857,5.261950566710194,-3.5297256097560976,hgb_under_3p5_high_total,2022
hgb_under_3p5_high_total__2023,2,67,67,30,37,0,0.44776119402985076,0.27437641723356004,0.33476201784797566,0.5664259846816114,42.33884297520663,0.631923029480696,5.235274733162276,-1.8022388059701493,hgb_under_3p5_high_total,2023
hgb_under_3p5_high_total__2024,2,93,93,45,48,0,0.4838709677419355,0.27437641723356004,0.3849752909016495,0.5840462866022331,67.53719008264466,0.7262063449746737,5.283266240155434,-4.287634408602151,hgb_under_3p5_high_total,2024
hgb_under_3p5_high_total__2016,3,974,974,187,787,0,0.1919917864476386,0.1437209804556743,0.16848505147132897,0.21791863599707073,267.4928625093916,0.2746333290650838,6.058704912271428,-2.1350102669404514,hgb_under_3p5_high_total,2016
hgb_under_3p5_high_total__2017,3,422,422,74,348,0,0.17535545023696683,0.1437209804556743,0.14204747498309214,0.21452078889718632,92.88655146506393,0.2201103115285875,6.497972683322426,-1.424960505529226,hgb_under_3p5_high_total,2017
hgb_under_3p5_high_total__2018,3,1179,1179,225,954,0,0.19083969465648856,0.1437209804556743,0.169426621643267,0.21426093212555553,326.89406461307317,0.2772638376701214,7.098461764799265,0.031382527565733696,hgb_under_3p5_high_total,2018
hgb_under_3p5_high_total__2019,3,147,147,24,123,0,0.16326530612244897,0.1437209804556743,0.11223672581016134,0.23144565358650374,0.11044327573254975,0.000751314800901699,5.866146521233959,-0.4183673469387755,hgb_under_3p5_high_total,2019
hgb_under_3p5_high_total__2020,3,225,225,42,183,0,0.18666666666666668,0.1437209804556743,0.14116907266689918,0.24268421274973836,34.099924868519935,0.1515552216378664,6.736774008892325,0.025185185185185015,hgb_under_3p5_high_total,2020
hgb_under_3p5_high_total__2021,3,1419,1419,541,878,0,0.38125440451021847,0.1437209804556743,0.3563357682455887,0.40681425491932294,2345.2381667918867,1.652740075258553,5.805000724889873,-4.638007986845197,hgb_under_3p5_high_total,2021
hgb_under_3p5_high_total__2022,3,721,721,231,490,0,0.32038834951456313,0.1437209804556743,0.28735633641934394,0.35532421613172377,886.2809917355374,1.229238546096446,5.216421127133781,-4.245492371705964,hgb_under_3p5_high_total,2022
hgb_under_3p5_high_total__2023,3,70,70,26,44,0,0.37142857142857144,0.1437209804556743,0.2677048160082965,0.4885301518147193,110.90608564988733,1.5843726521412476,5.202350386393283,-3.5238095238095246,hgb_under_3p5_high_total,2023
hgb_under_3p5_high_total__2024,3,113,113,36,77,0,0.3185840707964602,0.1437209804556743,0.23985429373603995,0.4092432879471962,134.17205108940647,1.1873632839770483,5.327532681375513,-3.1622418879056045,hgb_under_3p5_high_total,2024
hgb_under_5p0_all__2016,2,258,258,96,162,0,0.37209302325581395,0.27437641723356004,0.315391795362983,0.4325474167408233,79.73553719008268,0.30905246972900263,7.580011189127755,-2.807170542635659,hgb_under_5p0_all,2016
hgb_under_5p0_all__2017,2,334,334,142,192,0,0.4251497005988024,0.27437641723356004,0.37327730075889076,0.478724347350756,169.65289256198355,0.5079427921017472,7.295985886580806,-3.480538922155689,hgb_under_5p0_all,2017
hgb_under_5p0_all__2018,2,519,519,173,346,0,0.3333333333333333,0.27437641723356004,0.29413161433183943,0.37498423260918434,95.90082644628106,0.18478001242058006,7.922195042047761,-0.3285163776493256,hgb_under_5p0_all,2018
hgb_under_5p0_all__2019,2,125,125,31,94,0,0.248,0.27437641723356004,0.18056639010525916,0.3304611041202084,-20.694214876033044,-0.16555371900826435,6.702390552531539,2.144,hgb_under_5p0_all,2019
hgb_under_5p0_all__2020,2,136,136,27,109,0,0.19852941176470587,0.27437641723356004,0.14018035078929258,0.2734419189787878,-37.59504132231404,-0.27643412736995615,7.3056587422121995,4.5974264705882355,hgb_under_5p0_all,2020
hgb_under_5p0_all__2021,2,618,618,198,420,0,0.32038834951456313,0.27437641723356004,0.284804917333746,0.35819098387324944,88.01652892561991,0.14242156784080892,7.029988243468044,-1.034789644012945,hgb_under_5p0_all,2021
hgb_under_5p0_all__2022,2,148,148,47,101,0,0.31756756756756754,0.27437641723356004,0.24799221646706032,0.39637401781919596,23.297520661157048,0.157415680142953,6.661339121235436,-2.1807432432432434,hgb_under_5p0_all,2022
hgb_under_5p0_all__2023,2,66,65,22,43,1,0.3384615384615385,0.27437641723356004,0.23533338768646592,0.4596185018686867,4.768595041322323,0.07336300063572804,6.717559410502994,1.1098484848484849,hgb_under_5p0_all,2023
hgb_under_5p0_all__2024,2,51,51,9,42,0,0.17647058823529413,0.27437641723356004,0.095722957258099,0.30254405172778037,-19.933884297520656,-0.39086047642197363,6.342191235673458,2.573529411764706,hgb_under_5p0_all,2024
hgb_under_5p0_all__2016,3,500,500,142,358,0,0.284,0.1437209804556743,0.24623711212056168,0.32505672308478845,418.4462809917356,0.8368925619834712,7.635902189521198,-3.7359999999999998,hgb_under_5p0_all,2016
hgb_under_5p0_all__2017,3,855,855,228,627,0,0.26666666666666666,0.1437209804556743,0.23811628562183687,0.297304448539154,638.634861006762,0.7469413579026456,7.407454110826162,-3.293957115009747,hgb_under_5p0_all,2017
hgb_under_5p0_all__2018,3,1442,1442,288,1154,0,0.19972260748959778,0.1437209804556743,0.17989730206922738,0.22114358650390536,502.2434259954924,0.34829641192475197,7.9551456999193295,-0.41897827092001855,hgb_under_5p0_all,2018
hgb_under_5p0_all__2019,3,194,194,26,168,0,0.13402061855670103,0.1437209804556743,0.09312615773797961,0.1891279283591809,-46.226897069872265,-0.23828297458697045,6.719859886794503,1.5489690721649487,hgb_under_5p0_all,2019
hgb_under_5p0_all__2020,3,251,251,16,235,0,0.06374501992031872,0.1437209804556743,0.03961439602148448,0.10102826200609033,-139.6731780616078,-0.5564668448669634,7.333487449406238,5.838645418326693,hgb_under_5p0_all,2020
hgb_under_5p0_all__2021,3,1985,1985,365,1620,0,0.18387909319899245,0.1437209804556743,0.16745327735403784,0.20152613256980936,435.3643876784376,0.2193271474450567,7.098883432477402,-1.1774139378673383,hgb_under_5p0_all,2021
hgb_under_5p0_all__2022,3,199,199,37,162,0,0.18592964824120603,0.1437209804556743,0.1380078521906515,0.24574774823845183,58.443275732531966,0.29368480267604,6.753112610376855,-1.5804020100502512,hgb_under_5p0_all,2022
