game_id,season,week,start_date,away_team,home_team,division_track,closing_total,line_provider,line_source,line_provider_count,line_total_min,line_total_max,line_total_range,line_total_median,selected_vs_market_median,odds_match_confidence,line_first_seen_utc,line_last_seen_utc
401867895,2026,2,2026-09-12T18:00:00Z,Duquesne,Youngstown State,FCS,52.5,hardrockbet (OddsPapi),OddsPapi,1,52.5,52.5,0.0,52.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868246,2026,2,2026-09-12T23:00:00Z,UT Rio Grande Valley,Nicholls,FCS,51.5,hardrockbet (OddsPapi),OddsPapi,1,51.5,51.5,0.0,51.5,0.0,0.985,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868386,2026,2,2026-09-12T23:00:00Z,Samford,Tennessee Tech,FCS,48.5,hardrockbet (OddsPapi),OddsPapi,1,48.5,48.5,0.0,48.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401866631,2026,2,2026-09-12T22:00:00Z,Stonehill,New Hampshire,FCS,42.5,hardrockbet (OddsPapi),OddsPapi,1,42.5,42.5,0.0,42.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868171,2026,2,2026-09-12T22:00:00Z,Charleston Southern,The Citadel,FCS,46.5,hardrockbet (OddsPapi),OddsPapi,1,46.5,46.5,0.0,46.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401867876,2026,2,2026-09-13T02:00:00Z,North Dakota,Portland State,FCS,59.5,hardrockbet (OddsPapi),OddsPapi,1,59.5,59.5,0.0,59.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868028,2026,2,2026-09-12T16:30:00Z,Marist,Lafayette,FCS,45.5,hardrockbet (OddsPapi),OddsPapi,1,45.5,45.5,0.0,45.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868255,2026,2,2026-09-12T18:00:00Z,Drake,Northern Iowa,FCS,55.5,hardrockbet (OddsPapi),OddsPapi,1,55.5,55.5,0.0,55.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401866633,2026,2,2026-09-12T22:00:00Z,North Carolina A&T,North Carolina Central,FCS,54.5,hardrockbet (OddsPapi),OddsPapi,1,54.5,54.5,0.0,54.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401866630,2026,2,2026-09-12T21:00:00Z,Merrimack,Maine,FCS,46.5,hardrockbet (OddsPapi),OddsPapi,1,46.5,46.5,0.0,46.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868050,2026,2,2026-09-13T00:00:00Z,Stephen F. Austin,Abilene Christian,FCS,49.5,hardrockbet (OddsPapi),OddsPapi,1,49.5,49.5,0.0,49.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868102,2026,2,2026-09-12T22:00:00Z,San Diego,Idaho State,FCS,59.5,hardrockbet (OddsPapi),OddsPapi,1,59.5,59.5,0.0,59.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868195,2026,2,2026-09-12T23:00:00Z,Tennessee State,Alabama A&M,FCS,48.5,hardrockbet (OddsPapi),OddsPapi,1,48.5,48.5,0.0,48.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401867884,2026,2,2026-09-12T18:00:00Z,Eastern Washington,South Dakota,FCS,58.5,hardrockbet (OddsPapi),OddsPapi,1,58.5,58.5,0.0,58.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
