model,threshold,line_provider,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,2.5,William Hill (New Jersey),49,48,23,25,1,0.4791666666666667,-0.04464285714285715,0.34471090015787464,0.6167100436401562,-4.09090909090909,-0.08522727272727271,2.4183673469387754,2.8045375030858826
elastic_net,2.5,consensus,1531,1511,746,765,20,0.4937127729980146,-0.030096750811509254,0.4685514717915452,0.5189059627019358,-86.81818181818181,-0.057457433367426744,-0.20738079686479424,4.03845654141567
elastic_net,2.5,teamrankings,417,411,201,210,6,0.48905109489051096,-0.034758428919012874,0.44104842533222754,0.537256546975275,-27.272727272727273,-0.06635700066357,0.7158273381294964,5.630950764064711
elastic_net,3.5,Bovada,26,26,17,9,0,0.6538461538461539,0.13003663003663002,0.46220229009632996,0.8058798502714787,6.454545454545454,0.24825174825174823,4.480769230769231,4.625289601258934
elastic_net,3.5,DraftKings,126,124,67,57,2,0.5403225806451613,0.01651305683563742,0.4527104848592219,0.6255113146176308,3.9090909090909083,0.031524926686217,-0.626984126984127,5.807268936777959
elastic_net,3.5,ESPN Bet,25,25,15,10,0,0.6,0.07619047619047614,0.40739127785127344,0.7659694233580909,3.636363636363636,0.14545454545454542,-1.54,14.017738994741592
elastic_net,3.5,William Hill (New Jersey),3,3,1,2,0,0.3333333333333333,-0.19047619047619052,0.0614903152761605,0.7923450448735121,-1.0909090909090908,-0.3636363636363636,2.8333333333333335,3.7504882315861607
elastic_net,3.5,consensus,823,812,389,423,11,0.479064039408867,-0.04474548440065684,0.44488237818662796,0.5134428653410371,-69.36363636363635,-0.08542319749216298,-0.07168894289185905,4.9698153132546965
elastic_net,3.5,teamrankings,310,304,159,145,6,0.5230263157894737,-0.0007832080200501634,0.466942441478112,0.5785354926282595,-0.45454545454545503,-0.0014952153110047862,0.45483870967741935,6.5336364122911235
elastic_net,5.0,Bovada,5,5,3,2,0,0.6,0.07619047619047614,0.23071993220883708,0.8823817688407467,0.7272727272727271,0.14545454545454542,2.1,6.996744746305867
elastic_net,5.0,DraftKings,34,34,20,14,0,0.5882352941176471,0.06442577030812324,0.42221304146519273,0.7363426221431113,4.18181818181818,0.12299465240641705,-3.3088235294117645,10.641755356083967
elastic_net,5.0,ESPN Bet,22,22,14,8,0,0.6363636363636364,0.11255411255411252,0.4295134934371804,0.802670272273921,4.727272727272727,0.21487603305785122,-2.8636363636363638,15.383771497034212
elastic_net,5.0,consensus,307,304,167,137,3,0.5493421052631579,0.025532581453634018,0.4931405400251188,0.604312175917106,14.818181818181818,0.04874401913875598,1.021172638436482,6.371182404928907
elastic_net,5.0,teamrankings,193,190,98,92,3,0.5157894736842106,-0.00802005012531326,0.4451223223409469,0.585830785763815,-2.9090909090909083,-0.01531100478468899,0.4585492227979275,7.941027177183643
extra_trees,1.5,Bovada,132,132,64,68,0,0.48484848484848486,-0.038961038961038974,0.4012312048470063,0.5693227344469948,-9.818181818181818,-0.0743801652892562,0.45454545454545453,2.427275339394524
extra_trees,1.5,Caesars Sportsbook (Colorado),26,26,22,4,0,0.8461538461538461,0.3223443223443223,0.6646841558168644,0.9385006600107053,15.999999999999998,0.6153846153846153,12.538461538461538,2.985527554788951
extra_trees,1.5,DraftKings,703,696,376,320,7,0.5402298850574713,0.016420361247947435,0.5030837874420928,0.5769343195123953,21.81818181818181,0.03134796238244513,0.4167852062588905,2.316270677533651
extra_trees,1.5,ESPN Bet,738,738,353,385,0,0.47831978319783197,-0.045489740611691865,0.44248494567280483,0.5143791611661754,-64.0909090909091,-0.08684405025868441,0.4349593495934959,2.9026250041517976
extra_trees,1.5,William Hill (New Jersey),264,262,126,136,2,0.48091603053435117,-0.04289349327517267,0.4211294168971169,0.5412541980073977,-21.454545454545453,-0.08188757807078417,0.18181818181818182,3.0544621630786106
extra_trees,1.5,consensus,1308,1286,670,616,22,0.52099533437014,-0.0028141894393838296,0.4936696667428059,0.5481959390804209,-6.90909090909091,-0.005372543475187333,-0.18539755351681958,2.2800748022666384
extra_trees,1.5,numberfire,3,3,3,0,0,1.0,0.47619047619047616,0.43849391955098227,1.0,2.727272727272727,0.9090909090909091,27.833333333333332,2.009284637697589
extra_trees,1.5,teamrankings,312,310,164,146,2,0.5290322580645161,0.005222734254992312,0.4734505207302898,0.5839032526381865,3.0909090909090944,0.00997067448680353,1.1201923076923077,2.575433571955564
extra_trees,2.5,Bovada,48,48,22,26,0,0.4583333333333333,-0.06547619047619052,0.3257502185455351,0.5970916690505266,-5.999999999999999,-0.12499999999999999,-0.6145833333333334,3.207769646714984
extra_trees,2.5,Caesars Sportsbook (Colorado),12,12,10,2,0,0.8333333333333334,0.30952380952380953,0.5519636426153274,0.9530358523851776,7.090909090909091,0.5909090909090909,8.791666666666666,4.166558146055043
extra_trees,2.5,DraftKings,228,225,129,96,3,0.5733333333333334,0.049523809523809526,0.5080083807346928,0.6361961694869452,21.272727272727273,0.09454545454545454,0.9035087719298246,3.1324960592877225
extra_trees,2.5,ESPN Bet,392,392,190,202,0,0.4846938775510204,-0.039115646258503445,0.43560857732858876,0.5340762663058347,-29.272727272727266,-0.07467532467532466,0.5102040816326531,3.7051723704000463
extra_trees,2.5,William Hill (New Jersey),141,140,70,70,1,0.5,-0.023809523809523836,0.41828837957641574,0.5817116204235843,-6.363636363636363,-0.04545454545454545,-0.30141843971631205,4.044621904622285
extra_trees,2.5,consensus,346,339,173,166,7,0.5103244837758112,-0.013485040033712647,0.45729270569566427,0.5631248865685182,-8.727272727272727,-0.02574416733708769,-0.5563583815028902,3.278409781606356
extra_trees,2.5,teamrankings,120,120,67,53,0,0.5583333333333333,0.03452380952380951,0.46904360820302915,0.6440040268404459,7.909090909090912,0.06590909090909093,2.1125,3.5564831458867663
extra_trees,3.5,Bovada,11,11,4,7,0,0.36363636363636365,-0.1601731601731602,0.15166223614131383,0.6462032231083628,-3.3636363636363638,-0.3057851239669422,-1.5909090909090908,4.162421177823206
extra_trees,3.5,Caesars Sportsbook (Colorado),6,6,6,0,0,1.0,0.47619047619047616,0.6096569663469354,0.9999999999999999,5.454545454545454,0.9090909090909091,12.416666666666666,5.308530926094325
extra_trees,3.5,DraftKings,50,49,31,18,1,0.6326530612244898,0.108843537414966,0.49266811386889864,0.7533501747521878,10.18181818181818,0.20779220779220775,3.64,3.90746072405721
extra_trees,3.5,ESPN Bet,189,189,87,102,0,0.4603174603174603,-0.06349206349206354,0.3907552337440737,0.531460719660171,-22.909090909090903,-0.12121212121212117,0.03968253968253968,4.532071913406853
extra_trees,3.5,William Hill (New Jersey),76,76,36,40,0,0.47368421052631576,-0.05012531328320807,0.36541913011833066,0.5844816734727798,-7.272727272727276,-0.09569377990430626,-1.0986842105263157,5.000498189560771
extra_trees,3.5,consensus,107,107,53,54,0,0.4953271028037383,-0.02848242100578552,0.402409058672728,0.5885690578467014,-5.818181818181817,-0.05437553101104502,-0.8878504672897196,4.089812845252988
extra_trees,3.5,teamrankings,51,51,31,20,0,0.6078431372549019,0.08403361344537807,0.4708491122516505,0.7297285514197229,8.18181818181818,0.160427807486631,1.6470588235294117,4.406107177135946
extra_trees,5.0,Bovada,1,1,1,0,0,1.0,0.47619047619047616,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,10.0,6.343399292395838
