test_season,window_seasons,model,train_games,train_seasons,test_games,paired_joint_games,numeric_features,categorical_features,mae,rmse,signed_projection_bias,training_window
2019,expanding,joint_no_crosswind,3721,5,841,668,142,10,13.11090758320165,16.622416493537788,0.33601008103170094,expanding
2019,expanding,joint_no_alongwind,3721,5,841,668,142,10,13.180166021185139,16.540926815714638,0.2316136210640817,expanding
2019,expanding,joint_no_temperature_context,3721,5,841,668,141,10,13.2221948216872,16.667291088957008,0.4962509172175509,expanding
2019,expanding,joint_no_local_wind_context,3721,5,841,668,141,10,13.178065793682288,16.641918449023294,-0.05732237066721703,expanding
2019,expanding,joint_no_latitude_context,3721,5,841,668,140,10,13.21200098127787,16.72460415996336,0.31145070871118613,expanding
2020,expanding,baseline,4562,6,541,398,136,10,14.36394612106886,18.021828343946787,-0.6102239988979912,expanding
2020,expanding,joint_core,4562,6,541,398,143,10,14.262969431502059,18.042841155072317,-0.2503806184332393,expanding
2020,expanding,joint_no_orientation,4562,6,541,398,141,10,14.111340225714882,17.86316335097248,-0.6980190557534401,expanding
2020,expanding,joint_no_climate,4562,6,541,398,138,10,14.35218906494175,17.974136514068697,-0.18776447113673272,expanding
2020,expanding,joint_no_crosswind,4562,6,541,398,142,10,14.080526837142257,17.7645579654076,-0.4886631533860885,expanding
2020,expanding,joint_no_alongwind,4562,6,541,398,142,10,14.17965248805337,17.899683122008707,-0.45193632455842336,expanding
2020,expanding,joint_no_temperature_context,4562,6,541,398,141,10,14.370768715425378,18.063374599753853,-0.4420262038468826,expanding
2020,expanding,joint_no_local_wind_context,4562,6,541,398,141,10,14.29418347388857,18.005121869294335,-0.47327176422934575,expanding
2020,expanding,joint_no_latitude_context,4562,6,541,398,140,10,14.365170624301102,18.049381698286957,-0.08589685744406182,expanding
2021,expanding,baseline,5103,7,849,669,136,10,12.648602268956669,16.111331058748167,-1.3121644243424149,expanding
2021,expanding,joint_core,5103,7,849,669,143,10,12.570008850600424,15.986385517597746,-0.8216770889832692,expanding
2021,expanding,joint_no_orientation,5103,7,849,669,141,10,12.654761022797995,16.074269060582562,-0.6201477566921335,expanding
2021,expanding,joint_no_climate,5103,7,849,669,138,10,12.686425941664497,16.069720350488645,-1.329760370448917,expanding
2021,expanding,joint_no_crosswind,5103,7,849,669,142,10,12.520859755724434,15.99063040536374,0.28174580086295137,expanding
2021,expanding,joint_no_alongwind,5103,7,849,669,142,10,12.663559068662618,16.03281903229386,0.14987539017916585,expanding
2021,expanding,joint_no_temperature_context,5103,7,849,669,141,10,12.759350507580725,16.15934853567025,-1.7624544654004648,expanding
2021,expanding,joint_no_local_wind_context,5103,7,849,669,141,10,12.694534187455794,16.05149855121764,-0.8515365902668902,expanding
2021,expanding,joint_no_latitude_context,5103,7,849,669,140,10,12.57524498182253,15.98517324035503,-0.7281817774089866,expanding
2022,expanding,baseline,5952,8,1413,700,136,10,12.160980911858092,15.535058300052453,0.2470844630285964,expanding
2022,expanding,joint_core,5952,8,1413,700,143,10,12.221031012232736,15.508881869967468,0.310277897016156,expanding
2022,expanding,joint_no_orientation,5952,8,1413,700,141,10,12.29056775561802,15.600920389152956,0.07968047714234004,expanding
2022,expanding,joint_no_climate,5952,8,1413,700,138,10,12.201870811464739,15.548597577677207,0.06611443735707177,expanding
2022,expanding,joint_no_crosswind,5952,8,1413,700,142,10,12.268782992637384,15.613738713241242,0.1673918444012724,expanding
2022,expanding,joint_no_alongwind,5952,8,1413,700,142,10,12.229690594097368,15.51654002713522,0.22810232168543865,expanding
2022,expanding,joint_no_temperature_context,5952,8,1413,700,141,10,12.085444272474113,15.434048442392466,-0.01601904005006771,expanding
2022,expanding,joint_no_local_wind_context,5952,8,1413,700,141,10,12.170074536384824,15.483418947711275,0.23072989337116187,expanding
2022,expanding,joint_no_latitude_context,5952,8,1413,700,140,10,12.199369342624829,15.551351786243728,0.25952125034193485,expanding
2023,expanding,baseline,7365,9,1345,708,136,10,13.090053442149776,16.329789707399904,-1.109539207427107,expanding
2023,expanding,joint_core,7365,9,1345,708,143,10,12.996477892702858,16.17818864416462,-1.048611843812975,expanding
2023,expanding,joint_no_orientation,7365,9,1345,708,141,10,12.99822635992179,16.20023525623739,-1.1098834844480763,expanding
2023,expanding,joint_no_climate,7365,9,1345,708,138,10,13.01922525395056,16.185660378304792,-1.0890279825872426,expanding
2023,expanding,joint_no_crosswind,7365,9,1345,708,142,10,13.011345607153261,16.25560002526512,-1.0370236536121344,expanding
2023,expanding,joint_no_alongwind,7365,9,1345,708,142,10,12.973876443697502,16.173036763095837,-1.1665986363074197,expanding
2023,expanding,joint_no_temperature_context,7365,9,1345,708,141,10,13.050050903111863,16.302702224215604,-1.173563718040838,expanding
2023,expanding,joint_no_local_wind_context,7365,9,1345,708,141,10,13.116121339298468,16.262221524971533,-1.171679645388811,expanding
2023,expanding,joint_no_latitude_context,7365,9,1345,708,140,10,12.93892298165458,16.174602682344936,-1.201188330111187,expanding
2024,expanding,baseline,8710,10,1503,691,136,10,12.82810261709058,16.376536009043697,-0.7332781680986659,expanding
2024,expanding,joint_core,8710,10,1503,691,143,10,12.804207407960087,16.400507966718912,-0.9590720235873481,expanding
2024,expanding,joint_no_orientation,8710,10,1503,691,141,10,12.849060677611435,16.385420177788877,-0.7621941090103552,expanding
2024,expanding,joint_no_climate,8710,10,1503,691,138,10,12.823925376647948,16.432582605504784,-0.815320721697965,expanding
2024,expanding,joint_no_crosswind,8710,10,1503,691,142,10,12.8824104737398,16.39785437015207,-0.8232160868379989,expanding
2024,expanding,joint_no_alongwind,8710,10,1503,691,142,10,12.84799078136904,16.442185035920758,-0.9730219238483951,expanding
2024,expanding,joint_no_temperature_context,8710,10,1503,691,141,10,12.80893319669086,16.42498782586256,-0.9085358490234129,expanding
2024,expanding,joint_no_local_wind_context,8710,10,1503,691,141,10,12.868742533552938,16.49743943755197,-0.9144970080221883,expanding
2024,expanding,joint_no_latitude_context,8710,10,1503,691,140,10,12.875630912171264,16.454791557972527,-0.8202958422890761,expanding
2025,expanding,baseline,10213,11,1544,704,136,10,12.396923759230674,15.41222410340725,0.10404471257245279,expanding
2025,expanding,joint_core,10213,11,1544,704,143,10,12.379018600001457,15.367449131298107,0.14720471582385805,expanding
2025,expanding,joint_no_orientation,10213,11,1544,704,141,10,12.388069919764725,15.389184417818157,0.1434211901102906,expanding
2025,expanding,joint_no_climate,10213,11,1544,704,138,10,12.386917399525714,15.380453113794598,0.10287310496509473,expanding
2025,expanding,joint_no_crosswind,10213,11,1544,704,142,10,12.378943407525059,15.377035488854432,0.150027979598838,expanding
2025,expanding,joint_no_alongwind,10213,11,1544,704,142,10,12.377917585658379,15.365524851558122,0.14686252863152527,expanding
2025,expanding,joint_no_temperature_context,10213,11,1544,704,141,10,12.377739595807476,15.367306089243257,0.07383288265586795,expanding
2025,expanding,joint_no_local_wind_context,10213,11,1544,704,141,10,12.385046928138244,15.37321748514294,0.17669257817370948,expanding
2025,expanding,joint_no_latitude_context,10213,11,1544,704,140,10,12.387753403081888,15.376795988605167,0.15690989107598508,expanding
2016,6,baseline,1445,2,719,648,136,10,13.669806150139792,17.642337920609886,-0.5903778218609087,rolling_6_seasons
2016,6,joint_core,1445,2,719,648,143,10,13.617080085468848,17.67947112030316,-0.7034937997853901,rolling_6_seasons
2017,6,baseline,2164,3,745,679,136,10,14.060648889481904,17.670438364474393,0.6219494895079277,rolling_6_seasons
2017,6,joint_core,2164,3,745,679,143,10,14.091766955979589,17.734104829165876,0.8601408136822725,rolling_6_seasons
2018,6,baseline,2909,4,812,656,136,10,13.503655289009469,17.23764473509438,-0.5067671605946752,rolling_6_seasons
2018,6,joint_core,2909,4,812,656,143,10,13.25967854809371,17.071804431592298,-0.47875073924931866,rolling_6_seasons
2019,6,baseline,3721,5,841,668,136,10,13.156280770945955,16.570457222013317,0.4814413176094835,rolling_6_seasons
2019,6,joint_core,3721,5,841,668,143,10,13.062877777101363,16.513731456819297,-0.03624818727599522,rolling_6_seasons
2020,6,baseline,4562,6,541,398,136,10,14.36394612106886,18.021828343946787,-0.6102239988979912,rolling_6_seasons
2020,6,joint_core,4562,6,541,398,143,10,14.262969431502059,18.042841155072317,-0.2503806184332393,rolling_6_seasons
2021,6,baseline,4382,6,849,669,136,10,12.664755193485675,16.06219610972266,-0.8707775136103647,rolling_6_seasons
2021,6,joint_core,4382,6,849,669,143,10,12.792809370662082,16.164123433594156,0.4253625467146075,rolling_6_seasons
2022,6,baseline,4507,6,1413,700,136,10,12.461725046017964,15.67542273728952,0.7252431957028787,rolling_6_seasons
2022,6,joint_core,4507,6,1413,700,143,10,12.37004158721601,15.688580412444844,0.5584967166198581,rolling_6_seasons
2023,6,baseline,5201,6,1345,708,136,10,13.170619478444742,16.502239465405655,-0.9856636096277116,rolling_6_seasons
2023,6,joint_core,5201,6,1345,708,143,10,13.216030271014713,16.447537342296837,-1.0233317292918531,rolling_6_seasons
2024,6,baseline,5801,6,1503,691,136,10,13.024712299383262,16.55650596036968,-0.18619647099440706,rolling_6_seasons
2024,6,joint_core,5801,6,1503,691,143,10,13.033277299129725,16.525150088915293,-0.3325904561398563,rolling_6_seasons
2025,6,baseline,6492,6,1544,704,136,10,12.647004788734888,15.693891412620726,0.7259446824663488,rolling_6_seasons
2025,6,joint_core,6492,6,1544,704,143,10,12.552564087266205,15.552348304344575,0.7370209293168279,rolling_6_seasons
2016,4,baseline,1445,2,719,648,136,10,13.669806150139792,17.642337920609886,-0.5903778218609087,rolling_4_seasons
2016,4,joint_core,1445,2,719,648,143,10,13.617080085468848,17.67947112030316,-0.7034937997853901,rolling_4_seasons
2017,4,baseline,2164,3,745,679,136,10,14.060648889481904,17.670438364474393,0.6219494895079277,rolling_4_seasons
2017,4,joint_core,2164,3,745,679,143,10,14.091766955979589,17.734104829165876,0.8601408136822725,rolling_4_seasons
2018,4,baseline,2909,4,812,656,136,10,13.503655289009469,17.23764473509438,-0.5067671605946752,rolling_4_seasons
2018,4,joint_core,2909,4,812,656,143,10,13.25967854809371,17.071804431592298,-0.47875073924931866,rolling_4_seasons
2019,4,baseline,3000,4,841,668,136,10,13.17664861496332,16.746568615203557,0.8843806785938811,rolling_4_seasons
2019,4,joint_core,3000,4,841,668,143,10,13.121658363514106,16.58159321000454,0.7210255541917879,rolling_4_seasons
2020,4,baseline,3117,4,541,398,136,10,14.32670758620792,17.907760574967217,0.08217382361882515,rolling_4_seasons
2020,4,joint_core,3117,4,541,398,143,10,14.222947946652823,17.91860076200145,0.027076423433881225,rolling_4_seasons
2021,4,baseline,2939,4,849,669,136,10,12.860318744140079,16.345948144641554,-2.116563936465772,rolling_4_seasons
2021,4,joint_core,2939,4,849,669,143,10,12.63037630590058,15.990948114990022,-1.1495034528675354,rolling_4_seasons
2022,4,baseline,3043,4,1413,700,136,10,12.34718210137022,15.701707822865265,0.9397685206033928,rolling_4_seasons
2022,4,joint_core,3043,4,1413,700,143,10,12.29813540413006,15.609489764255937,0.5230975204902367,rolling_4_seasons
2023,4,baseline,3644,4,1345,708,136,10,13.352271674458066,16.55619409932013,-1.128577495289335,rolling_4_seasons
2023,4,joint_core,3644,4,1345,708,143,10,13.36309047985941,16.512266321238325,-0.6165751918930347,rolling_4_seasons
2024,4,baseline,4148,4,1503,691,136,10,13.07199028607019,16.576165708159284,-0.3076961490749404,rolling_4_seasons
2024,4,joint_core,4148,4,1503,691,143,10,13.070458190270234,16.49030258635482,0.06908568088757171,rolling_4_seasons
2025,4,baseline,5110,4,1544,704,136,10,12.763582129582023,15.818268620995399,0.820910231080362,rolling_4_seasons
2025,4,joint_core,5110,4,1544,704,143,10,12.734185912438978,15.769582386819303,0.7216506298189306,rolling_4_seasons
