test_season,model,paired_games,mae,mae_delta_vs_baseline,rmse,signed_projection_bias
2021,cross_magnitude,669,12.710725569233514,0.062123300276842576,16.086126202845417,-0.9896636084765843
2021,vector_magnitude,669,12.686425941664497,0.03782367270782733,16.069720350488645,-1.329760370448917
2021,along_alignment,669,12.909165108357524,0.26056283940085156,16.38378889473633,-2.565596523033456
2021,alignment_pair,669,12.800111664934414,0.1515093959777455,16.315962652177088,-1.977985588683003
2021,joint_core,669,12.570008850600424,-0.07859341835624604,15.986385517597746,-0.8216770889832692
2022,baseline,700,12.160980911858092,0.0,15.535058300052453,0.2470844630285964
2022,along_magnitude,700,12.237536808924233,0.07655589706613977,15.580928288508234,0.05627328858464844
2022,cross_magnitude,700,12.148899563179324,-0.012081348678767553,15.467008436265319,0.04517417313658021
2022,vector_magnitude,700,12.201870811464739,0.04088989960664622,15.548597577677207,0.06611443735707177
2022,along_alignment,700,12.180871957202625,0.019891045344531975,15.459933419898366,0.006240800116449025
2022,alignment_pair,700,12.2466616008621,0.08568068900400566,15.557086415472206,0.1927855967231797
2022,joint_core,700,12.221031012232736,0.06005010037464152,15.508881869967468,0.310277897016156
2023,baseline,708,13.090053442149776,0.0,16.329789707399904,-1.109539207427107
2023,along_magnitude,708,13.05001946032754,-0.040033981822238295,16.27570424104607,-0.9273366410857741
2023,cross_magnitude,708,13.027181534966264,-0.06287190718351185,16.197131814008436,-1.011810539988347
2023,vector_magnitude,708,13.01922525395056,-0.07082818819921699,16.185660378304792,-1.0890279825872426
2023,along_alignment,708,12.98429590127675,-0.10575754087302806,16.229088027233725,-1.2494317397191328
2023,alignment_pair,708,13.075062471232535,-0.014990970917240862,16.338374083788473,-1.1191485627538216
2023,joint_core,708,12.996477892702858,-0.0935755494469187,16.17818864416462,-1.048611843812975
2024,baseline,691,12.82810261709058,0.0,16.376536009043697,-0.7332781680986659
2024,along_magnitude,691,12.760502378677533,-0.06760023841304907,16.30929954332862,-0.6342119309568046
2024,cross_magnitude,691,12.79293578825261,-0.035166828837971585,16.365330434626777,-0.6397405369348322
2024,vector_magnitude,691,12.823925376647948,-0.004177240442634216,16.432582605504784,-0.815320721697965
