test_season,model,train_games,test_games,paired_joint_games,numeric_features,categorical_features,mae,rmse,signed_projection_bias
2023,joint_interactions,7365,1345,708,150,10,12.946240213414063,16.197853324720402,-1.2096032771629086
2024,baseline,8710,1503,691,136,10,12.82810261709058,16.376536009043697,-0.7332781680986659
2024,orientation_crosswind,8710,1503,691,137,10,12.79293578825261,16.365330434626777,-0.6397405369348322
2024,orientation_vector,8710,1503,691,138,10,12.823925376647948,16.432582605504784,-0.815320721697965
2024,climate_full,8710,1503,691,141,10,12.849060677611435,16.385420177788877,-0.7621941090103552
2024,joint_core,8710,1503,691,143,10,12.804207407960087,16.400507966718912,-0.9590720235873481
2024,joint_interactions,8710,1503,691,150,10,12.837347122726085,16.452617932941344,-0.9159530789830722
2025,baseline,10213,1544,704,136,10,12.396923759230674,15.41222410340725,0.10404471257245279
2025,orientation_crosswind,10213,1544,704,137,10,12.380052726554611,15.369695369043555,0.1052976190486581
2025,orientation_vector,10213,1544,704,138,10,12.386917399525714,15.380453113794598,0.10287310496509473
2025,climate_full,10213,1544,704,141,10,12.388069919764725,15.389184417818157,0.1434211901102906
2025,joint_core,10213,1544,704,143,10,12.379018600001457,15.367449131298107,0.14720471582385805
2025,joint_interactions,10213,1544,704,150,10,12.359751065242609,15.358596964283594,0.17326602853129774
