weather_grouping,weather_bin,latitude_band,games,unique_venues,avg_latitude,avg_weather_value,avg_closing_total,avg_actual_total,avg_market_residual,residual_ci_low,residual_ci_high,under_rate,weather_bin_games,weather_bin_avg_residual,weather_bin_under_rate,residual_vs_same_weather_bin,under_rate_vs_same_weather_bin
wind,0-5,35-40N,979,52,37.15976507221655,2.724004085801839,55.73493360572012,56.495403472931564,0.7604698672114403,-0.2876776101709191,1.8086173445937996,0.4729315628192033,2581,0.20825261526540095,0.4943820224719101,0.5522172519460393,-0.02145045965270681
wind,0-5,40N+,668,48,42.028223168113776,2.797305389221557,54.56062874251497,55.365269461077844,0.8046407185628742,-0.3868520286879674,1.996133465813716,0.47604790419161674,2581,0.20825261526540095,0.4943820224719101,0.5963881032974733,-0.018334118280293354
wind,0-5,<30N,114,11,28.366150512280708,3.3570175438596492,57.6359649122807,58.95614035087719,1.3201754385964912,-1.5533213483387753,4.193672225531758,0.4824561403508772,2581,0.20825261526540095,0.4943820224719101,1.1119228233310903,-0.011925882121032905
wind,10-15,30-35N,412,42,32.57279239126213,12.079368932038834,57.661407766990294,58.81553398058252,1.154126213592233,-0.49344673067908573,2.8016991578635517,0.5242718446601942,1845,-0.036314363143631435,0.5365853658536586,1.1904405767358643,-0.012313521193464405
wind,10-15,35-40N,545,53,37.41748448568808,12.048807339449542,55.73211009174312,55.579816513761465,-0.15229357798165138,-1.555051490963555,1.2504643350002522,0.5284403669724771,1845,-0.036314363143631435,0.5365853658536586,-0.11597921483801996,-0.008144998881181476
wind,10-15,40N+,676,47,42.043580865828396,12.205769230769231,52.294378698224854,51.49556213017752,-0.7988165680473372,-2.0081583176893036,0.41052518159462903,0.5502958579881657,1845,-0.036314363143631435,0.5365853658536586,-0.7625022049037058,0.013710492134507146
wind,10-15,<30N,212,14,27.458412193396228,12.012264150943398,54.761792452830186,55.14150943396226,0.37971698113207547,-1.7384878856628274,2.4979218479269782,0.5377358490566038,1845,-0.036314363143631435,0.5365853658536586,0.4160313442757069,0.0011504832029451961
wind,15-20,30-35N,74,26,32.74845972027027,17.054054054054053,59.398648648648646,62.86486486486486,3.4662162162162162,-0.5746178574877576,7.5070502899201905,0.47297297297297297,434,0.9400921658986175,0.5023041474654378,2.526124050317599,-0.029331174492464862
wind,15-20,35-40N,110,35,37.61205463181819,17.382727272727273,55.06363636363636,55.61818181818182,0.5545454545454546,-2.504930135839992,3.6140210449309014,0.5272727272727272,434,0.9400921658986175,0.5023041474654378,-0.385546711353163,0.024968579807289393
wind,15-20,40N+,195,43,41.95154081487179,17.60102564102564,52.34871794871795,52.282051282051285,-0.06666666666666667,-2.3074150371158018,2.174081703782468,0.517948717948718,434,0.9400921658986175,0.5023041474654378,-1.0067588325652843,0.015644570483280162
wind,15-20,<30N,55,12,26.83097692545455,17.09090909090909,55.28181818181818,57.163636363636364,1.8818181818181818,-2.386492192568471,6.150128556204835,0.43636363636363634,434,0.9400921658986175,0.5023041474654378,0.9417260159195643,-0.06594051110180149
wind,20+,35-40N,58,27,37.053039572413795,23.096551724137928,55.71551724137931,55.12068965517241,-0.5948275862068966,-5.51910186726279,4.329446694848996,0.5344827586206896,130,-0.2230769230769231,0.5307692307692308,-0.3717506631299735,0.003713527851458842
wind,20+,40N+,72,30,41.858036822222225,23.356944444444444,50.38194444444444,50.458333333333336,0.0763888888888889,-4.004075198241688,4.156852976019467,0.5277777777777778,130,-0.2230769230769231,0.5307692307692308,0.299465811965812,-0.002991452991452981
wind,5-10,30-35N,866,45,32.676126705773676,7.253233256351038,55.92147806004619,56.89953810623557,0.9780600461893765,-0.10802640822062592,2.064146500599379,0.4896073903002309,3186,0.7934714375392341,0.4930947897049592,0.18458860865014237,-0.003487399404728253
wind,5-10,35-40N,1062,53,37.523723022598865,7.386064030131826,55.46421845574388,56.43408662900188,0.9698681732580038,-0.020840679175513244,1.9605770256915207,0.4868173258003766,3186,0.7934714375392341,0.4930947897049592,0.17639673571876968,-0.006277463904582559
wind,5-10,40N+,961,49,42.157644634547346,7.377523413111342,53.132154006243496,54.13423517169615,1.0020811654526536,-0.004193256334387385,2.0083555872396945,0.49427679500520294,3186,0.7934714375392341,0.4930947897049592,0.20860972791341947,0.0011820053002437603
wind,5-10,<30N,297,15,27.83347052390572,7.445454545454546,56.292929292929294,55.24242424242424,-1.0505050505050506,-2.955308391477236,0.8542982904671346,0.5218855218855218,3186,0.7934714375392341,0.4930947897049592,-1.8439764880442846,0.02879073218056266
